,Player,Pos,Games,ADP,Pass Comp,Pass Att,Pass Yds,Pass Yds Per Game,Pass Yds Avg,Pass TD,Pass TD Per Game,Int,Rush Att,Rush Yds,Rush Yds Per Game,Rush Yds Avg,Rush TD,Rush TD Per Game,Rec,Rec Yds,Rec Yds Per Game,Rec Yds Avg,Rec TD,Rec TD Per Game,Fumbles Lost,Fantasy Total,Fantasy Avg,UID,Rush Avg,Rec Avg
0,Austin Ekeler,RB,16,180.07,0,0,0,0,0,0,0,0,106,554,34.625,0,3,0.1875,39,404,25.25,0,3,0.1875,1,129.8,8.1125,AustinEkeler184,5.226415094,10.35897436
0,Kalen Ballage,RB,16,181.55,0,0,0,0,0,0,0,0,36,191,11.9375,0,1,0.0625,9,56,3.5,0,0,0,1,28.7,1.79375,KalenBallage187,5.305555556,6.222222222
0,Ricky Seals-Jones,TE,16,182.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,343,21.4375,0,1,0.0625,0,40.3,2.51875,RickySealsJones188,10.08823529,
0,Spencer Ware,RB,16,182.98,0,0,0,0,0,0,0,0,51,246,15.375,0,2,0.125,20,224,14,0,0,0,0,59,3.6875,SpencerWare190,4.823529412,11.2
0,Josh Allen 4,QB,16,185.65,169,320,2074,129.625,12.27218935,10,0.625,12,89,631,39.4375,0,8,0.5,0,0,0,0,0,0,2,206.06,12.87875,JoshAllen194,7.08988764,
0,Danny Amendola,WR,16,188.24,0,0,0,0,0,0,0,0,1,-2,-0.125,0,0,0,59,575,35.9375,0,1,0.0625,0,63.3,3.95625,DannyAmendola198,-2,9.745762712
0,Dallas Goedert,TE,16,188.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,334,20.875,0,4,0.25,0,57.4,3.5875,DallasGoedert199,10.12121212,
0,Benjamin Watson,TE,16,188.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,400,25,0,2,0.125,0,52,3.25,BenWatson200,11.42857143,
0,Donte Moncrief,WR,16,188.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,668,41.75,0,3,0.1875,1,82.8,5.175,DonteMoncrief201,13.91666667,
0,Sam Bradford,QB,8,189.7,50,80,400,50,8,2,0.25,4,2,7,0.875,0,0,0,0,0,0,0,0,0,2,12.7,1.5875,SamBradford202,3.5,
0,Chris Ivory,RB,16,192.71,0,0,0,0,0,0,0,0,115,385,24.0625,0,1,0.0625,13,205,12.8125,0,0,0,0,65,4.0625,ChrisIvory205,3.347826087,15.76923077
0,Jordan Matthews,WR,14,192.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,300,21.42857143,0,2,0.142857143,0,42,3,JordanMatthews206,15,
0,Kenneth Dixon,RB,6,198.32,0,0,0,0,0,0,0,0,60,333,55.5,0,2,0.333333333,6,51,8.5,0,0,0,1,48.4,8.066666667,KennethDixon213,5.55,8.5
